"GEO_ID","NAME","Median household income","Margin of Error",
"860Z200US92333","ZCTA5 92333","117708","76211",
"860Z200US92335","ZCTA5 92335","64946","3159",
"860Z200US92336","ZCTA5 92336","103200","4599",
"860Z200US92337","ZCTA5 92337","89965","4769",
"860Z200US92338","ZCTA5 92338","-","**",
"860Z200US92339","ZCTA5 92339","77649","34799",
"860Z200US92341","ZCTA5 92341","51375","31583",
"860Z200US92342","ZCTA5 92342","81861","24305",
"860Z200US92344","ZCTA5 92344","90560","8408",
"860Z200US92345","ZCTA5 92345","54881","3804",
"860Z200US92346","ZCTA5 92346","74569","5780",
"860Z200US92347","ZCTA5 92347","40923","13452",
"860Z200US92350","ZCTA5 92350","-","**",
"860Z200US92352","ZCTA5 92352","97034","20211",
"860Z200US92354","ZCTA5 92354","67776","8710",
"860Z200US92356","ZCTA5 92356","36720","4547",
"860Z200US92358","ZCTA5 92358","63194","25037",
"860Z200US92359","ZCTA5 92359","62891","18955",
"860Z200US92363","ZCTA5 92363","33268","7229",
"860Z200US92364","ZCTA5 92364","-","**",
"860Z200US92365","ZCTA5 92365","55625","17798",
"860Z200US92368","ZCTA5 92368","41442","21804",
"860Z200US92369","ZCTA5 92369","-","**",
"860Z200US92371","ZCTA5 92371","63605","8777",
"860Z200US92372","ZCTA5 92372","62542","24425",
"860Z200US92373","ZCTA5 92373","86430","9784",
"860Z200US92374","ZCTA5 92374","86132","7200",
"860Z200US92376","ZCTA5 92376","64478","2329",
"860Z200US92377","ZCTA5 92377","100625","16814",
"860Z200US92378","ZCTA5 92378","59205","36238",
"860Z200US92382","ZCTA5 92382","72331","8130",
"860Z200US92385","ZCTA5 92385","47386","43757",
"860Z200US92386","ZCTA5 92386","40568","9044",
"860Z200US92391","ZCTA5 92391","75117","68231",
"860Z200US92392","ZCTA5 92392","66908","4166",
"860Z200US92394","ZCTA5 92394","68767","3535",
"860Z200US92395","ZCTA5 92395","50223","6691",
"860Z200US92397","ZCTA5 92397","66591","26279",
"860Z200US92398","ZCTA5 92398","52259","11503",
"860Z200US92399","ZCTA5 92399","76311","5605",
"860Z200US92401","ZCTA5 92401","38667","10780",
"860Z200US92404","ZCTA5 92404","55381","4974",
"860Z200US92405","ZCTA5 92405","45478","6279",
"860Z200US92407","ZCTA5 92407","76743","5353",
"860Z200US92408","ZCTA5 92408","56683","7024",
"860Z200US92410","ZCTA5 92410","45741","3478",
"860Z200US92411","ZCTA5 92411","52281","4539",
"860Z200US92415","ZCTA5 92415","-","**",
"860Z200US92509","ZCTA5 92509","81747","4750",
"860Z200US92880","ZCTA5 92880","128425","9500",
"860Z200US93516","ZCTA5 93516","64306","32044",
"860Z200US93555","ZCTA5 93555","73166","6524",
"860Z200US93558","ZCTA5 93558","-","**",
"860Z200US93562","ZCTA5 93562","45682","18441",
